mga,department,child_readiness.basic,se.child_readiness.basic,sara_index,se.sara_index,child_readiness,se.child_readiness,quality.basic,se.quality.basic,main_symptom,se.main_symptom,assess.adeq,se.assess.adeq,fifteen.assess,se.fifteen.assess,int_cov,se.int_cov,three_danger_signs,se.three_danger_signs,year,recode,country
ALL,fatick,0.9297918462272996,0.039904749206889224,0.8628973761253308,0.012647431540215194,0.8508853591436262,0.01739439344440904,0.4155210692788665,0.040287901481382234,0.033849260715050365,0.028240505062359193,0.006057719470951007,0.006091297057061716,0.29907012709297964,0.01343165408226117,0,0,0,0,2017,7,Senegal
ALL,foundiougne,0.8411086271344133,0.07308402566236162,0.7984979111198174,0.038428924386293854,0.7926386013405886,0.06379018625776102,0.5297022224568115,0.04770410871162503,0.14325142813576247,0.06050809296384738,0.025853333098743898,0.026040921076849036,0.3014682672021777,0.01413002890205428,0.3941485730371847,0.1468607072923097,0,0,2017,7,Senegal
ALL,gossas,0.8333333333333333,0.12108052620946318,0.8703703703703703,0.013453391801051443,0.875,0.030270131552365766,0.33333333333333337,0.0951189731211342,0,0,0,0,0.2736263736263736,0.02976524153093731,0.5,0.35669614920425324,0,0,2017,7,Senegal
ALL,goudiry,0.9999999999999999,4.6978032118366324e-17,0.7092700920785696,0.039437399072905124,0.884894817756523,0.01930118137070529,0.8346584643866501,0.0839113951428947,0.6240061517100124,0.17527399149038697,0.5039753931599504,0.17982995761549284,0.4583751641916529,0.0486841400600786,1,0,0,0,2017,7,Senegal
ALL,goudomp,0.8058252712984967,0.07601669002842236,0.8518518518518519,0.011269821241138844,0.8681229844912909,0.04058476795058677,0.4304800408660429,0.052903583615402046,0,0,0,0,0.30312474431992337,0.02053434700838373,0.3855627074305497,0.1543927280073067,0,0,2017,7,Senegal
ALL,guediawaye,1,0,0.5896079903734547,0.134055609639931,0.9074074118112698,0.05512385036839436,0.6205053551017663,0.0969154818490138,0.2755102233760992,0.13330462077333474,0.2069970790354002,0.1307137092407426,0.4062196318119675,0.036742495807424023,0.8,0.18081939103401784,0,0,2017,7,Senegal
ALL,guinguineo,0.7777777777777778,0.09351393461446371,0.7407407407407407,0.035993530215094445,0.7777777777777778,0.06185365377725643,0.7619047619047619,0.11207543823781144,0.5714285714285714,0.18894287750460237,0.5714285714285714,0.18894287750460237,0.5435374149659863,0.05363012808200785,0,0,0,0,2017,7,Senegal
ALL,kaffrine,0.8171091293456767,0.08903238990898892,0.725991479693779,0.01879940020122018,0.7676991132563543,0.021045682589631676,0.49621355239391846,0.06092761346864425,0.2169460101742187,0.06895463236630935,0.23091248796655137,0.07091026609008051,0.3688920969416359,0.02634924049045971,0.6609947847968289,0.1397872669527208,0,0,2017,7,Senegal
ALL,kanel,0.7916666666666665,0.05861785769491017,0.6851851851851851,0.021271680172978733,0.7395833333333333,0.03529262387197242,0.43209876543209874,0.05526478122945772,0.07407407407407407,0.05092332786322877,0,0,0.19488536155202824,0.018618506308427298,0.5714285714285714,0.18898223650461363,0,0,2017,7,Senegal
ALL,kaolack,0.7489029534700831,0.07318926318086309,0.6408694030234257,0.02492228834183432,0.7435711918641722,0.04003253676228629,0.6608593699286338,0.03868848163774545,0.2646926789207787,0.0639578889258079,0.2631972315852635,0.06460443546095755,0.43112100651677254,0.018441572148216647,0.4039129028880805,0.156858299946528,0,0,2017,7,Senegal
