mga,department,sara_index,se.sara_index,child_readiness,se.child_readiness,factype,fifteen.assess,se.fifteen.assess,year,recode,country
ALL,ranerou,0.736229505895551,0.013637281437388384,0.8538464962595738,0.014163986175013339,ALL,0.4956759722118403,0.03777325258636086,2013,6,Senegal
ALL,rufisque,0.6520845492007996,0.03266332283670932,0.745627161405198,0.04027809207390718,ALL,0.34693166166862377,0.019253322643654844,2013,6,Senegal
ALL,saint louis,0.6571820282064456,0.035026818343993675,0.7306434916808151,0.05855000830290064,ALL,0.43803543497335135,0.025467717561617392,2013,6,Senegal
ALL,salemata,0.7201953551187257,0.02752612727781718,0.8549807953202486,0.042578298605641426,ALL,0.4238963097337229,0.024367084309076813,2013,6,Senegal
ALL,saraya,0.6698193915145543,0.04026718682993806,0.8133779309389924,0.06675153108974938,ALL,0.5038068847352161,0.022841819253559627,2013,6,Senegal
ALL,sedhiou,0.7270417609566019,0.02240915408414633,0.8406671225763596,0.032447390647054916,ALL,0.36787206468589456,0.013694399936701187,2013,6,Senegal
ALL,tambacounda,0.6297598653860782,0.0341583301003784,0.7364642988089615,0.0572919591017194,ALL,0.3605242643400681,0.014849357533751925,2013,6,Senegal
ALL,thies,0.6629823855956176,0.023338966136721026,0.7319566090089884,0.02984749234303344,ALL,0.3932565444016086,0.0132766019433003,2013,6,Senegal
ALL,tivaoune,0.6911248428312518,0.01630892897318651,0.7698095218777958,0.028548606895581318,ALL,0.40480895729937894,0.01496747363005974,2013,6,Senegal
ALL,velingara,0.6184906879970397,0.03714094892368524,0.6784058406090776,0.05510690201412447,ALL,0.37046999402768466,0.019662810185380596,2013,6,Senegal
ALL,ziguinchor,0.687157681544465,0.0273419938623033,0.7533875040903852,0.03233477055691802,ALL,0.350083539979313,0.017310734256207553,2013,6,Senegal
private,bakel,0.4074074074074074,0,0.25,0,ALL,NA,NA,2013,6,Senegal
public,bakel,0.6742425359429689,0.02433512942594874,0.7896378167021394,0.037438365986881536,ALL,0.4360951280912229,0.03015358638257097,2013,6,Senegal
private,bambey,0.7407407407407408,0,0.8333333333333333,0,ALL,0.41868131868131864,0.030223664973972553,2013,6,Senegal
