mga,department,child_readiness.basic,se.child_readiness.basic,sara_index,se.sara_index,child_readiness,se.child_readiness,quality.basic,se.quality.basic,main_symptom,se.main_symptom,assess.adeq,se.assess.adeq,fifteen.assess,se.fifteen.assess,int_cov,se.int_cov,three_danger_signs,se.three_danger_signs,year,recode,country
ALL,ALL,0.8009210446092244,0.029907231689737704,0.6842678773059695,0.01590283688240088,0.7610396870875581,0.020280937061345792,0.5933541439884523,0.023935479473674425,0.277269372917169,0.02873484464844175,0.18467415836310166,0.022806590764663393,0.3896774711500373,0.01028645669662126,0.7533772922889072,0.03319786124011411,0.009262839658917287,0.0036305946927354996,2020,7,Senegal
private,ALL,0.6573955826833162,0.11242856211208471,0.5220741154142051,0.04172485388017772,0.6497480319735696,0.07713298830299922,0.5589240582346853,0.08227292058003277,0.25330514453459196,0.09675627036369175,0.15712409982407102,0.07519265035117997,0.3713615837988286,0.03545272248151289,0.7396019563492418,0.11459325068558375,0,0,2020,7,Senegal
public,ALL,0.8452845506663341,0.013201658915841479,0.7806493843176973,0.005550910231693401,0.7954397715708513,0.008275548503323417,0.6061638224608664,0.011817845187548118,0.28618523977314386,0.016057570638059227,0.1949241296906525,0.01395483186891519,0.396491878456017,0.0049643427972335995,0.7548865964009822,0.034625071534104296,0.012709069756072753,0.004975859380031432,2020,7,Senegal
ALL,bakel,0.9560680908040896,0.04275946066167651,0.7459881605908266,0.031625818172064314,0.8447281693141687,0.02804300626608242,0.33333333333333337,0,0,0,0,0,0.14285714285714288,0,1,0,0,0,2020,7,Senegal
ALL,bambey,0.9166666666666666,0.07470178808339961,0.8796296296296295,0.015893670424203588,0.8333333333333333,0.052822140920532265,0.5641025641025641,0.07661764717367363,0.07692307692307693,0.07457414164925212,0,0,0.278021978021978,0.022120094800583592,0,0,0,0,2020,7,Senegal
ALL,bignona,0.7190138505843033,0.08142855247608496,0.7757889607293016,0.020962106257751183,0.7630867959794093,0.045308349266873854,0.40302494351595264,0.05213530236373939,0,0,0,0,0.31034651981720607,0.021970802495583117,0.5441320652887407,0.2981218353041428,0,0,2020,7,Senegal
ALL,birkelane,0.6666666666666666,0,0.7407407407407407,0,0.5833333333333334,0,0.8333333333333333,0.12049980091353688,0.5,0.36149940274061054,0,0,0.39285714285714285,0.07746415773013084,0,0,0,0,2020,7,Senegal
ALL,bounkiling,0.7863247968493303,0.06968285188346592,0.8414055104109625,0.018335910500336904,0.8012820631221634,0.04329527088096389,0.7316403207627236,0.08048960669699559,0.6211392763709036,0.10214421848370424,0.2779683849152681,0.09253531454170577,0.432350310198731,0.02592601802562527,0.6980306086466063,0.17901029711487917,0,0,2020,7,Senegal
ALL,dagana,0.685646478292734,0.09380750503168626,0.7142480434959633,0.0339769321067373,0.6699288022073707,0.052191516556751125,0.8722361100472172,0.09901786695264753,0.6167083301416517,0.2970536008579423,0.6167083301416517,0.2970536008579423,0.552485469561707,0.04095292762220185,1,0,0,0,2020,7,Senegal
ALL,dakar,0.4435121867480374,0.13110034320157157,0.4503295561004999,0.028209180474780746,0.5273436049742678,0.07751241609932157,0.5625226022214647,0.03859320838165201,0.17656843803708194,0.05265064131111599,0.2523654309704839,0.0601730353185619,0.4230273873248125,0.021359106227975534,0.5,0.14649932643063063,0,0,2020,7,Senegal
