mga,department,child_readiness.basic,se.child_readiness.basic,sara_index,se.sara_index,child_readiness,se.child_readiness,quality.basic,se.quality.basic,main_symptom,se.main_symptom,assess.adeq,se.assess.adeq,fifteen.assess,se.fifteen.assess,int_cov,se.int_cov,three_danger_signs,se.three_danger_signs,year,recode,country
ALL,ALL,0.7415876605719355,0.01426034882402654,0.6780123839325138,0.006477007365656064,0.7650045041903489,0.009665236548205705,0.6924494543580078,0.009898150801064926,0.40636726899329,0.01512248506506461,0.3098421893506771,0.013707488908125539,0.4313780344836997,0.00490676261850337,0.8162503774954002,0.0209041007768616,0.011297288663342972,0.0031193924124095305,2015,6,Senegal
private,ALL,0.5233880142580177,0.059790155158440834,0.5690410726278107,0.02471531409888088,0.6103543918905191,0.042078476620384275,0.6748831358384183,0.031304435521067354,0.40296903986257093,0.044539037957763934,0.3455520807712009,0.038206973503735205,0.43585333251109,0.014075331885095205,0.6147463291975636,0.10156162669249313,0,0,2015,6,Senegal
public,ALL,0.7871370347236726,0.011862007905550833,0.7049190188758452,0.0052620000304104365,0.7972878554549014,0.007581181343169837,0.6961843659235898,0.009988345056884961,0.4070897929113609,0.01570345112959304,0.3022496316771067,0.014501770883262426,0.43042650657286863,0.005142617716405329,0.8403224468046805,0.01956605620981806,0.013699293046983058,0.003782667620551711,2015,6,Senegal
ALL,bakel,0.8027561069632542,0.08594132163220825,0.6923150062758213,0.03497569138184497,0.7911282257965329,0.07156212911596257,0.8310356282314939,0.06985124392922117,0.6958641308166892,0.10382902028341115,0.746553442347241,0.09832996819369229,0.5742422892990169,0.032177860582242805,1,0,0,0,2015,6,Senegal
ALL,bambey,0.821342897671598,0.08064731197900304,0.7757127366898426,0.02862490169608531,0.8406774265472146,0.07776295357583578,0.6545060971154493,0.05890062775219651,0.22767189276562322,0.0948134398580472,0,0,0.3120898264098742,0.023517920686678517,0.879655240962472,0.11336372933764857,0,0,2015,6,Senegal
ALL,bignona,1.0000000000000002,4.045951393717886e-17,0.7478137178156954,0.022435144254739095,0.8743729431266507,0.026568530539655515,0.7045446103522083,0.04267619392683678,0.3837323656146661,0.07412721438512897,0.32402201616634874,0.07123159854535314,0.4398258161000844,0.02428951637267252,0.5984296288433995,0.11045490910876757,0,0,2015,6,Senegal
ALL,birkelane,0.8653198582795378,0.08747708426429805,0.6777029550896039,0.02477656002632459,0.8829966312365509,0.02186927106607451,0.664617230020605,0.09421819406502362,0.306273466937342,0.14716661370535916,0.10209115564578065,0.0977712293660011,0.3619960581798491,0.04593439492389169,1,0,0,0,2015,6,Senegal
ALL,bounkiling,0.8207885357846532,0.06642163269676926,0.7124651574621377,0.01878654906438657,0.8464755139709844,0.033902663716044966,0.7799097435254354,0.05169046441154304,0.4776523955602983,0.11104951991199809,0.38826197780149185,0.10382216726547522,0.5221072092842399,0.024714347173867265,1,0,0,0,2015,6,Senegal
ALL,dagana,0.8630193291468704,0.09060206107600756,0.7097978228189766,0.03186657054190834,0.8710064430489568,0.059503555487414955,0.592581531966909,0.05590051464344428,0.19110978383602908,0.08153764085242778,0.40005972737869133,0.10218925826530828,0.44298580694628686,0.044170782732723894,0.8219934578189877,0.13273478249252466,0.17780432327941834,0.08075383847682133,2015,6,Senegal
ALL,dakar,0.5668368690136483,0.052367778254754506,0.5798056333095867,0.02518273391104841,0.6260969221465438,0.033659594277693765,0.606590170678186,0.03459068630260457,0.2938294258099645,0.047696687986751404,0.2815254981033181,0.044214354639596005,0.41053118249652665,0.016063422392741413,0.7439690934681601,0.08685421858887551,0,0,2015,6,Senegal
ALL,diourbel,0.4715444601092569,0.1437764178424096,0.5952573234646938,0.05782853157571957,0.629877836719348,0.10500770888416805,0.6318122415069553,0.07818892247996473,0.3681877584930448,0.1117971364797755,0.15684491321870153,0.0815305576023807,0.3546673056563655,0.028876314053552874,0.7142857142857142,0.15341774217719742,0,0,2015,6,Senegal
ALL,fatick,0.7912753326494559,0.05413057745857259,0.6930123681468963,0.018872537579766313,0.799885216712529,0.022531879513568942,0.764763731037102,0.03427682927850423,0.40939637511226923,0.0766272177404149,0.6567865250635124,0.07386676919888752,0.5722803039443976,0.02296742373147562,0.8508557756303577,0.09732943675976098,0,0,2015,6,Senegal
ALL,foundiougne,0.6666666666666667,4.5566511785680114e-17,0.70991102951879,0.025662971926900077,0.8333333333333334,0,0.8224113203386162,0.044011119092788424,0.5191488455731651,0.10809005914094766,0.29617023088536704,0.10334340671652398,0.4727391571207762,0.021315444178909813,0.9999999999999998,7.883378422243472e-17,0.044255346328050484,0.04365610977994656,2015,6,Senegal
ALL,gossas,0.7638590024377855,0.08323956309117846,0.6512279264676561,0.042719194799413884,0.7395609184950057,0.062429672318383846,0.6825639236580874,0.08024189427754484,0.37587891002560314,0.13352046570469037,0.15988991820509374,0.10200825668303098,0.38101093732518304,0.039947997694566785,1,0,0,0,2015,6,Senegal
ALL,goudiry,0.8184992254467809,0.0853358169858661,0.7071941432293037,0.03986675457363748,0.8712914730283619,0.021333954246466506,0.7532468373216166,0.09257085803525539,0.6456401462756715,0.11841169057782652,0.742733577126119,0.1097336236484408,0.5595606378860521,0.032469495171822106,0.8191305772592278,0.16223151799756236,0,0,2015,6,Senegal
ALL,goudomp,0.860841346827912,0.121932517803743,0.6803307998379804,0.051784468709968834,0.8098705160151699,0.05542577495576108,0.8546929264217463,0.035684754697509126,0.591888754621529,0.10029758503328505,0.3105447174798552,0.09405495311901951,0.49466470058103357,0.02500459494519894,1,0,0,0,2015,6,Senegal
ALL,guediawaye,0.6666666666666667,6.776665227350509e-17,0.6027839098739453,0.06926254504677255,0.7139639601065597,0.026803340096581273,0.5910210295046782,0.07745748580738014,0.0966328860642543,0.09234043272153587,0.0966328860642543,0.09234043272153587,0.3693547053817464,0.036485073293359135,0.8,0.18012341448141728,0,0,2015,6,Senegal
ALL,guinguineo,0.6666666666666666,0,0.6861900473475051,0.05654690988641729,0.6472868721617362,0.07444605616458254,0.9555555555555554,0.029484598755723443,0.8666666666666666,0.08845379626717031,0.6666666666666666,0.12266334536566453,0.5486446886446886,0.03389557942951685,1,0,0.13333333333333333,0.08845379626717033,2015,6,Senegal
ALL,kaffrine,0.7285835305704041,0.047463106220385555,0.7177457212042616,0.01989132547478431,0.8059796355326818,0.0285248755353696,0.7899787090929128,0.061495384166601164,0.5962295326571125,0.09663786896164762,0.17888015832058327,0.07916154472578721,0.40013163210202424,0.02835722071652735,0.9999999999999999,3.452874549498591e-17,0,0,2015,6,Senegal
ALL,kanel,0.821522295741824,0.08958214699476023,0.7229512876653914,0.029925910732193094,0.8051181015053067,0.07112861934825325,0.6754069852057915,0.04331181521940396,0.2699898976060433,0.07385726908655142,0.05417087599748195,0.03746123300958768,0.31181892397650074,0.018856810752386266,0.857142857142857,0.13327351577386995,0,0,2015,6,Senegal
ALL,kaolack,0.6208679322555484,0.0885160666769552,0.637052409486599,0.03388747806733446,0.6755339074893058,0.05401730879584359,0.6669447535956706,0.04836898274417461,0.3420953482916641,0.07219141893716409,0.15819989588515954,0.05557373512419745,0.3857456852366872,0.021801086596645338,0.950831377161945,0.04821020772936605,0.021013001305529504,0.020863308475216558,2015,6,Senegal
ALL,kebemer,0.8037558128531195,0.07355504444999858,0.74298385055712,0.03213594351577951,0.8602112397598931,0.03269795998408979,0.6131606791376405,0.06156104670855873,0.26585378136294746,0.08248026204240791,0.06067079823826319,0.04181488134181425,0.35660610506768786,0.027505993427284728,1,0,0,0,2015,6,Senegal
ALL,kedougou,0.7971014620530754,0.05518295099107426,0.7114331790465305,0.027813233513101245,0.8746376827566344,0.03139738504297765,0.6855619883723336,0.07638944364385558,0.5054505225567905,0.11380899324922768,0.06613372857448052,0.045545573726625724,0.3485084482628542,0.033411382857391377,1,0,0,0,2015,6,Senegal
