mga,department,child_readiness.basic,se.child_readiness.basic,sara_index,se.sara_index,child_readiness,se.child_readiness,quality.basic,se.quality.basic,main_symptom,se.main_symptom,assess.adeq,se.assess.adeq,fifteen.assess,se.fifteen.assess,int_cov,se.int_cov,three_danger_signs,se.three_danger_signs,year,recode,country
ALL,ALL,0.8171730665601917,0.03291882145608486,0.6885575894535523,0.02302020914773121,0.7585474327912185,0.02406878834097031,0.5640020731709077,0.04397020781206361,0.18138495862230744,0.01586654476648398,0.10486181986557963,0.013649223069170642,0.3626350329432768,0.01876452221581837,0.3884047800013366,0.14994784634483915,0.0024261286690033922,0.0013985333801928893,2018,7,Senegal
private,ALL,0.6779837324811547,0.11652660734490751,0.5287677241642942,0.06046324057292832,0.6017378930870076,0.07954283389074067,0.5282338755761857,0.10703562696135026,0.10665958485868553,0.029263597795911048,0.060693865729449445,0.024671736000465752,0.3619048397968856,0.04566374094330465,0.09491011500190183,0.08978758116768856,0,0,2018,7,Senegal
public,ALL,0.8694712822505979,0.013609189072786588,0.7847507225693358,0.005980172518866497,0.8174661652072207,0.008162218938625343,0.5883228151268071,0.01264678266246943,0.23219480242420562,0.01777613896247051,0.13489401291696734,0.015612241898758332,0.36313153095786954,0.005447051860061877,0.635006926933194,0.03750200982541396,0.004075785438942251,0.0023493763138784365,2018,7,Senegal
ALL,bakel,0.8846153846153847,0.0534390291958238,0.7981956315289648,0.016107094630767368,0.8301282051282051,0.02043606872077497,0.7777777777777777,0.06804138174397718,0.3333333333333333,0.2041241452319315,0,0,0.3515873015873016,0.026228777909528336,0,0,0,0,2018,7,Senegal
ALL,bambey,0.941689006023199,0.05432836333981083,0.8666468094608597,0.026953084143749906,0.9020889181724662,0.03923301199366289,0.7521326655975072,0.07462221146574505,0.5487204006414956,0.11366163435780442,0.20511839743401739,0.09057678982721007,0.41550636209615643,0.03208761003497573,0.6724027071515177,0.1955208021012578,0,0,2018,7,Senegal
ALL,bignona,0.8528665651953322,0.08991219724423485,0.8428885506511077,0.03352887887492954,0.8201420598680872,0.048644026997417336,0.4787089771796692,0.0447458345033177,0.04475185461987008,0.04393973703090806,0,0,0.3091152134619554,0.012399115571995443,0.4697345915785207,0.14408724124637493,0,0,2018,7,Senegal
ALL,birkelane,0.808398924328027,0.08649697719948755,0.6363371235374722,0.02564488469569526,0.7191600849671473,0.06284163168569097,0.37094336334038236,0.11990805821829406,0.026140336198575566,0.026128087612501082,0.026140336198575566,0.026128087612501082,0.26801492623863243,0.03399529535328843,0,0,0,0,2018,7,Senegal
ALL,bounkiling,0.9119496908868205,0.07720115594691142,0.8714185872103363,0.037597561955064036,0.866876311610594,0.06878472050307113,0.6186714095374964,0.06639375530232909,0.07999205207795237,0.07822687334747726,0.346698199530868,0.17507850933209235,0.4613052777937883,0.03861682709760306,1,0,0,0,2018,7,Senegal
ALL,dagana,0.8300907911802853,0.07350660097176645,0.788442138636691,0.029047867528620264,0.8252269779507133,0.05050187895486618,0.5794945587958342,0.14818268024077325,0.23080612731250477,0.1771199204636273,0.015355098149996195,0.015631657236713514,0.3092411856526115,0.04194045515177049,1,0,0,0,2018,7,Senegal
ALL,dakar,0.7659564087971664,0.145243187163107,0.5672395216637401,0.07870773596740673,0.6438318729306186,0.10109461929607962,0.48955905647729064,0.13820561674161683,0.03246270882851616,0.010612542875237118,0.015325823975204485,0.007244121209702889,0.3527821012675352,0.05920554499043754,0.059366978251417984,0.059096205148667896,0,0,2018,7,Senegal
