mga,department,readiness,se.readiness,factype,process_quality,se.process_quality,year,recode,country,logit_readiness,var_logit_readiness,logit_process_quality,var_logit_process_quality
ALL,salemata,0.720195355,0.027526127,ALL,0.42389631,0.024367084,2013,6,Senegal,0.945430839,0.01865863,-0.30679879,0.009956038
ALL,saraya,0.669819392,0.040267187,ALL,0.503806885,0.022841819,2013,6,Senegal,0.707368308,0.033150037,0.015227833,0.008348947
ALL,sedhiou,0.727041761,0.022409154,ALL,0.367872065,0.0136944,2013,6,Senegal,0.979665106,0.012750869,-0.541356576,0.003468027
ALL,tambacounda,0.629759865,0.03415833,ALL,0.360524264,0.014849358,2013,6,Senegal,0.531186773,0.021462303,-0.573089416,0.004148568
ALL,thies,0.662982386,0.023338966,ALL,0.393256544,0.013276602,2013,6,Senegal,0.676613225,0.010910736,-0.433643875,0.003096077
ALL,tivaoune,0.691124843,0.016308929,ALL,0.404808957,0.014967474,2013,6,Senegal,0.805383304,0.005836761,-0.385467189,0.003859082
ALL,velingara,0.618490688,0.037140949,ALL,0.370469994,0.01966281,2013,6,Senegal,0.483146877,0.024775896,-0.530201065,0.007108079
ALL,ziguinchor,0.687157682,0.027341994,ALL,0.35008354,0.017310734,2013,6,Senegal,0.786864499,0.016176947,-0.61867202,0.005788586
private,bakel,0.407407407,0,ALL,NA,NA,2013,6,Senegal,-0.374693449,NA,NA,NA
public,bakel,0.674242536,0.024335129,ALL,0.436095128,0.030153586,2013,6,Senegal,0.727436763,0.0122757,-0.257025167,0.015035012
private,bambey,0.740740741,0,ALL,0.418681319,0.030223665,2013,6,Senegal,1.049822124,NA,-0.328189057,0.015420503
public,bambey,0.731447574,0.020480373,ALL,0.37177818,0.031660408,2013,6,Senegal,1.001979401,0.010870541,-0.524595934,0.018375501
private,bignona,0.711248547,0.034357838,ALL,0.314614854,0.074592417,2013,6,Senegal,0.90145565,0.027987268,-0.778631734,0.119663456
public,bignona,0.709655234,0.017053069,ALL,0.348370862,0.017550697,2013,6,Senegal,0.893710202,0.006849869,-0.626207986,0.005977287
public,birkelane,0.74553627,0.021469314,ALL,0.492846797,0.021748879,2013,6,Senegal,1.074945475,0.012806988,-0.028614765,0.007571319
public,bounkiling,0.662203288,0.022208577,ALL,0.327605823,0.018066813,2013,6,Senegal,0.673128321,0.009857073,-0.719033613,0.006726854
private,dagana,0.62962963,0,ALL,0.273626374,0.039977956,2013,6,Senegal,0.530628251,NA,-0.976300943,0.040458066
public,dagana,0.738056417,0.01251385,ALL,0.417469625,0.032794439,2013,6,Senegal,1.035891118,0.004189742,-0.333169545,0.018185008
private,dakar,0.449043699,0.022182026,ALL,0.402035253,0.0215948,2013,6,Senegal,-0.204535288,0.008038794,-0.39699202,0.008068986
public,dakar,0.626738847,0.01989751,ALL,0.370081169,0.01551741,2013,6,Senegal,0.518251625,0.007234336,-0.531868614,0.00443073
private,diourbel,0.539914328,0.059361182,ALL,0.353846154,0.043514263,2013,6,Senegal,0.159997761,0.057105503,-0.602175402,0.036221168
public,diourbel,0.733863487,0.01877942,ALL,0.427877961,0.02727294,2013,6,Senegal,1.014313643,0.009245382,-0.290514305,0.012412142
private,fatick,0.747024428,0.015259344,ALL,0.433766333,0.05440497,2013,6,Senegal,1.082804957,0.00651996,-0.266500845,0.049065259
public,fatick,0.689872924,0.014623935,ALL,0.347704155,0.015343168,2013,6,Senegal,0.799525278,0.004672087,-0.629146219,0.00457637
public,foundiougne,0.67943663,0.025044812,ALL,0.311374586,0.012952134,2013,6,Senegal,0.751183992,0.013222387,-0.793700813,0.003648801
private,gossas,0.592592593,0,ALL,0.346666667,0.01742339,2013,6,Senegal,0.374693449,NA,-0.63372376,0.005917953
public,gossas,0.679305687,0.027486548,ALL,0.298946951,0.031560712,2013,6,Senegal,0.750582855,0.015919426,-0.852317424,0.022677938
public,goudiry,0.653119952,0.03479034,ALL,0.314177966,0.022980864,2013,6,Senegal,0.632781771,0.023581575,-0.780658573,0.011375183
private,goudomp,0.74479958,0.02224334,ALL,0.390220221,0.043681981,2013,6,Senegal,1.071065965,0.013694885,-0.446386626,0.033700712
public,goudomp,0.718659244,0.020065148,ALL,0.385487401,0.016423669,2013,6,Senegal,0.937820724,0.009848575,-0.46632092,0.004806826
private,guediawaye,0.634657244,0.042900751,ALL,0.404922701,0.026747347,2013,6,Senegal,0.552249111,0.034233421,-0.384995124,0.012321694
public,guediawaye,0.615355632,0.057883325,ALL,0.393845764,0.025658201,2013,6,Senegal,0.469881178,0.05980477,-0.431175097,0.011551377
private,guinguineo,0.695253387,0.027195334,ALL,0.156593407,0.024323379,2013,6,Senegal,0.82479571,0.016474976,-1.68379648,0.033917739
public,guinguineo,0.688241794,0.029626273,ALL,0.413358352,0.032220799,2013,6,Senegal,0.791912316,0.019064972,-0.350099254,0.017655231
private,kaffrine,0.703703704,0,ALL,0.416410256,0.042237099,2013,6,Senegal,0.864997437,NA,-0.337527275,0.03020856
public,kaffrine,0.75211235,0.023424665,ALL,0.443550991,0.031351483,2013,6,Senegal,1.109910095,0.01578598,-0.226762771,0.016135348
public,kanel,0.66396498,0.026164575,ALL,0.375134637,0.021888992,2013,6,Senegal,0.681014028,0.013752065,-0.510251215,0.008719755
private,kaolack,0.522001269,0.064502908,ALL,0.350805361,0.038765506,2013,6,Senegal,0.088061942,0.066828543,-0.615501034,0.028974011
public,kaolack,0.698546126,0.030464145,ALL,0.413189177,0.019438059,2013,6,Senegal,0.840384195,0.020928884,-0.350796948,0.00642705
public,kebemer,0.750325483,0.022276926,ALL,0.387825586,0.02748934,2013,6,Senegal,1.100348953,0.014140433,-0.456461512,0.01340619
private,kedougou,0.504524662,0.086515937,ALL,0.588095238,0.054761905,2013,6,Senegal,0.018099143,0.119779734,0.356096742,0.051105559
public,kedougou,0.680720772,0.037986579,ALL,0.462660522,0.020055539,2013,6,Senegal,0.757086154,0.030547877,-0.149636497,0.006507981
private,kolda,0.576223829,0.078131211,ALL,0.326836523,0.034273481,2013,6,Senegal,0.307290759,0.10237493,-0.722528092,0.024266894
public,kolda,0.624662201,0.052467736,ALL,0.409857397,0.025746076,2013,6,Senegal,0.509384607,0.050078302,-0.36455492,0.011330331
private,koumpentoum,0.703703704,0,ALL,0.592673993,0.04407324,2013,6,Senegal,0.864997437,NA,0.375030623,0.033329894
public,koumpentoum,0.637251951,0.083261699,ALL,0.457590328,0.042314587,2013,6,Senegal,0.56345659,0.129735259,-0.170047264,0.029065091
private,koungheul,0.62962963,0,ALL,0.251575092,0.073493921,2013,6,Senegal,0.530628251,NA,-1.090229356,0.152360043
public,koungheul,0.739809651,0.024367325,ALL,0.44983463,0.022908496,2013,6,Senegal,1.044979452,0.016024828,-0.201338878,0.008568422
public,linguere,0.717865305,0.017416716,ALL,0.303674051,0.024263897,2013,6,Senegal,0.933897353,0.007394923,-0.829862944,0.01316681
private,louga,0.683784991,0.057491254,ALL,0.245421245,0.03752568,2013,6,Senegal,0.771221138,0.070696754,-1.123183549,0.041060449
public,louga,0.667824213,0.021151896,ALL,0.324331225,0.019153119,2013,6,Senegal,0.698360677,0.009091559,-0.733937683,0.007638953
public,malem hodar,0.708350109,0.016646721,ALL,0.448734982,0.029331742,2013,6,Senegal,0.887384394,0.006492887,-0.205783198,0.014059666
public,matam,0.712617143,0.022071957,ALL,0.383311688,0.021697917,2013,6,Senegal,0.908128988,0.011615755,-0.475515264,0.008425594
private,mbacke,0.481481481,0,ALL,0.236263736,0.028970168,2013,6,Senegal,-0.074107972,NA,-1.173273817,0.025776329
public,mbacke,0.765993427,0.020305766,ALL,0.447854802,0.021056238,2013,6,Senegal,1.185824385,0.012833129,-0.209341974,0.007250709
private,mbour,0.714865052,0.048298323,ALL,0.446968473,0.032212055,2013,6,Senegal,0.919131218,0.056145516,-0.212926947,0.016981784
public,mbour,0.716158995,0.019624978,ALL,0.465237318,0.017695129,2013,6,Senegal,0.925487965,0.009320714,-0.139275428,0.005058668
