mga,department,sara_index,se.sara_index,child_readiness,se.child_readiness,factype,fifteen.assess,se.fifteen.assess,year,recode,country
ALL,ALL,0.702765550211488,0.006564610889598242,0.7712668418242303,0.010302924269033387,ALL,0.34454111632652584,0.029787751325475745,2017,7,Senegal
private,ALL,0.4958399075699361,0.023647736406035135,0.5203890505242426,0.04022499885767197,ALL,0.34786153876378545,0.029787751325475745,2017,7,Senegal
public,ALL,0.765155432309266,0.004692812129775131,0.8210879954207978,0.005788550084243161,ALL,0.3441443312404499,0.003955885009564237,2017,7,Senegal
ALL,ALL,0.6988430578665076,0.007319234822431374,0.7787747057475547,0.011623753566203612,clinic,0.33883959686081505,0.005512485487422733,2017,7,Senegal
ALL,ALL,0.7503447694394562,0.01363933037193515,0.7708567294012387,0.01872084185492819,health center,0.3769328533219141,0.009122555742131432,2017,7,Senegal
ALL,ALL,0.6833948490008669,0.021653522118212684,0.5931965496179137,0.03335753340613981,hospital,0.3511077552166291,0.013660698797795584,2017,7,Senegal
ALL,bakel,0.7338163131107724,0.01762013637073608,0.824387614907468,0.02766975587865876,ALL,0.27468987636083053,0.06881083045907914,2017,7,Senegal
ALL,bambey,0.8740740740740741,0.01735435396622774,0.8500000000000001,0.01531560972454468,ALL,0.31350078492935635,0.017601501319142978,2017,7,Senegal
ALL,bignona,0.7800782137599004,0.017504211773412052,0.8467908904755742,0.021468317329791587,ALL,0.32558416789911826,0.014527003127930514,2017,7,Senegal
ALL,birkelane,0.7222222222222221,0.06762006882779827,0.7916666666666667,0.09128709291752764,ALL,0.367032967032967,0.09401375947881946,2017,7,Senegal
ALL,bounkiling,0.8467568050041259,0.012523000676764725,0.8428130522074052,0.016591801478734586,ALL,0.2244505494505495,0.015389814313542945,2017,7,Senegal
ALL,dagana,0.6666666666666666,0.01685305348738177,0.7694773200833669,0.03344273797845586,ALL,0.342417064491823,0.021742678547030252,2017,7,Senegal
ALL,dakar,0.4647130514603479,0.04112818790963405,0.512540313766285,0.06214210132556809,ALL,0.40505158543348374,0.017945751074512042,2017,7,Senegal
ALL,diourbel,0.8255375413928498,0.012900766511197237,0.794579521480792,0.023042309500441546,ALL,0.3157167984609864,0.01623929968060698,2017,7,Senegal
ALL,fatick,0.8628973761253308,0.012647431540215194,0.8508853591436262,0.01739439344440904,ALL,0.29907012709297964,0.01343165408226117,2017,7,Senegal
ALL,foundiougne,0.7984979111198174,0.038428924386293854,0.7926386013405886,0.06379018625776102,ALL,0.3014682672021777,0.01413002890205428,2017,7,Senegal
ALL,gossas,0.8703703703703703,0.013453391801051443,0.875,0.030270131552365766,ALL,0.2736263736263736,0.02976524153093731,2017,7,Senegal
ALL,goudiry,0.7092700920785696,0.039437399072905124,0.884894817756523,0.01930118137070529,ALL,0.4583751641916529,0.0486841400600786,2017,7,Senegal
ALL,goudomp,0.8518518518518519,0.011269821241138844,0.8681229844912909,0.04058476795058677,ALL,0.30312474431992337,0.02053434700838373,2017,7,Senegal
ALL,guediawaye,0.5896079903734547,0.134055609639931,0.9074074118112698,0.05512385036839436,ALL,0.4062196318119675,0.036742495807424023,2017,7,Senegal
ALL,guinguineo,0.7407407407407407,0.035993530215094445,0.7777777777777778,0.06185365377725643,ALL,0.5435374149659863,0.05363012808200785,2017,7,Senegal
ALL,kaffrine,0.725991479693779,0.01879940020122018,0.7676991132563543,0.021045682589631676,ALL,0.3688920969416359,0.02634924049045971,2017,7,Senegal
