mga,department,sara_index,se.sara_index,child_readiness,se.child_readiness,factype,fifteen.assess,se.fifteen.assess,year,recode,country
ALL,ALL,0.6842678773059695,0.01590283688240088,0.7610396870875581,0.020280937061345792,ALL,0.3896774711500373,0.03545272248151289,2020,7,Senegal
private,ALL,0.5220741154142051,0.04172485388017772,0.6497480319735696,0.07713298830299922,ALL,0.3713615837988286,0.03545272248151289,2020,7,Senegal
public,ALL,0.7806493843176973,0.005550910231693401,0.7954397715708513,0.008275548503323417,ALL,0.396491878456017,0.0049643427972335995,2020,7,Senegal
ALL,ALL,0.6742147348845405,0.01770749592292276,0.7608689230957701,0.022764187624791075,clinic,0.3799689576252702,0.012340362170935346,2020,7,Senegal
ALL,ALL,0.780219757803877,0.015828370208178795,0.8022116042031037,0.01695167347097077,health center,0.41367896291626627,0.009071217868322382,2020,7,Senegal
ALL,ALL,0.7437028162041209,0.03879226133380183,0.681975344333504,0.05560173064913007,hospital,0.4822365688666009,0.017404005634718733,2020,7,Senegal
ALL,bakel,0.7459881605908266,0.031625818172064314,0.8447281693141687,0.02804300626608242,ALL,0.14285714285714288,0,2020,7,Senegal
ALL,bambey,0.8796296296296295,0.015893670424203588,0.8333333333333333,0.052822140920532265,ALL,0.278021978021978,0.022120094800583592,2020,7,Senegal
ALL,bignona,0.7757889607293016,0.020962106257751183,0.7630867959794093,0.045308349266873854,ALL,0.31034651981720607,0.021970802495583117,2020,7,Senegal
ALL,birkelane,0.7407407407407407,0,0.5833333333333334,0,ALL,0.39285714285714285,0.07746415773013084,2020,7,Senegal
ALL,bounkiling,0.8414055104109625,0.018335910500336904,0.8012820631221634,0.04329527088096389,ALL,0.432350310198731,0.02592601802562527,2020,7,Senegal
ALL,dagana,0.7142480434959633,0.0339769321067373,0.6699288022073707,0.052191516556751125,ALL,0.552485469561707,0.04095292762220185,2020,7,Senegal
ALL,dakar,0.4503295561004999,0.028209180474780746,0.5273436049742678,0.07751241609932157,ALL,0.4230273873248125,0.021359106227975534,2020,7,Senegal
ALL,diourbel,0.7020975104725224,0.03848177617042766,0.6605017146135714,0.05812304291487576,ALL,0.308490832115945,0.01886806614558647,2020,7,Senegal
ALL,fatick,0.7808520999557933,0.0260038230861344,0.7398982881613645,0.03568773681135522,ALL,0.3178460540043723,0.01199147825441699,2020,7,Senegal
ALL,foundiougne,0.8366321991487699,0.03554508226868177,0.8274966615683069,0.04526120914794342,ALL,0.3182084936388663,0.015826743379559367,2020,7,Senegal
ALL,gossas,0.7222222222222223,0.040662503039522194,0.625,0.09149063183892499,ALL,0.2252747252747253,0.021634797080462682,2020,7,Senegal
ALL,goudiry,0.6879711559947879,0.020408796298553196,0.7502949831446096,0.031845554980759375,ALL,0.423411802565549,0.05068146782786718,2020,7,Senegal
ALL,goudomp,0.7703703490265938,0.038630648393919345,0.7066666378525684,0.05123217367913289,ALL,0.4335356081079928,0.030132773897642236,2020,7,Senegal
ALL,guediawaye,0.8479025978196812,0.032834989685712856,0.9385205633961886,0.05098938407680567,ALL,0.2951249871039857,0.047907262208434484,2020,7,Senegal
ALL,guinguineo,0.7559912823258055,0.0244774325642805,0.8480392295338756,0.07566298031368289,ALL,0.671235273138425,0.037548799846473704,2020,7,Senegal
ALL,kaffrine,0.7995254762763595,0.02662235005613671,0.8063463631532093,0.04435983421341527,ALL,0.4803770474382484,0.017622913066903025,2020,7,Senegal
ALL,kanel,0.7192933471203489,0.03634024132214076,0.7538354231293303,0.04102989537345867,ALL,0.31261341973653045,0.0684312119920846,2020,7,Senegal
ALL,kaolack,0.6851851375428578,0.030290728272595317,0.7550890059374356,0.05136224170842638,ALL,0.6278145308017882,0.026062340972760608,2020,7,Senegal
ALL,kebemer,0.7478028660453941,0.039400849437137446,0.7736581883540103,0.0726522164704198,ALL,0.3489251452770065,0.02094960358982289,2020,7,Senegal
ALL,kedougou,0.7944838526493823,0.02667186384047601,0.7595744772158723,0.07876199697777582,ALL,0.5581765852755702,0.027443285655130475,2020,7,Senegal
ALL,kolda,0.7081828595310703,0.03821976357967587,0.8299794754602586,0.068393364567992,ALL,0.4054363565689159,0.022483400399480307,2020,7,Senegal
ALL,koumpentoum,0.9259259259259259,0,0.9166666666666666,0,ALL,0.3857142857142857,0.0159719141249985,2020,7,Senegal
ALL,koungheul,0.7643346859531612,0.04142358091496676,0.7320987337293638,0.06515358694711075,ALL,0.4532881664019844,0.027636947476585374,2020,7,Senegal
ALL,linguere,0.6792022686777415,0.06450658772478894,0.7602563960482844,0.09608500909432809,ALL,0.2711572503775216,0.04654418302336827,2020,7,Senegal
ALL,louga,0.6702637748379692,0.04077560517621905,0.7602513200205022,0.043263583242911116,ALL,0.34789382482473147,0.01581778056402538,2020,7,Senegal
ALL,malem hodar,0.7777777777777778,0,0.8333333333333333,0.06154574548966635,ALL,0.5,0,2020,7,Senegal
ALL,matam,0.7522204689427059,0.022670503797088223,0.8255134413796095,0.03936078605310349,ALL,0.5044153929748433,0.07354753186816773,2020,7,Senegal
ALL,mbacke,0.8723155932767088,0.03484970900783535,0.8609944013799691,0.027789382387341535,ALL,0.3586767999395315,0.015034025194241147,2020,7,Senegal
ALL,mbour,0.7384283014518707,0.028963889921597496,0.730200205472693,0.04806927400797158,ALL,0.3604703841244069,0.023091755630732035,2020,7,Senegal
ALL,medina yoroufoula,0.7493224805675522,0.03829914252979332,0.8615853487661956,0.03112625995924963,ALL,0.4771936809592242,0.045412723268482676,2020,7,Senegal
ALL,nioro du rip,0.7333333333333333,0.03652986075833468,0.7333333333333333,0.08219218670625301,ALL,0.4655844155844156,0.02927219600373693,2020,7,Senegal
ALL,oussouye,0.8174890569200999,0.029029311747908158,0.8456869072917255,0.04314007527441935,ALL,0.31373586579331836,0.020129689852319773,2020,7,Senegal
ALL,pikine,0.7583446443476262,0.03757546591930732,0.7463024276720186,0.051366083298758795,ALL,0.39833525612654025,0.01620948270701211,2020,7,Senegal
ALL,podor,0.789453534917209,0.021897153676240844,0.8105081814254881,0.03214060357947654,ALL,0.33086047405034336,0.03485872118664863,2020,7,Senegal
ALL,ranerou,0.7222222222222222,0.013733700902028986,0.6666666666666667,5.5511151231257815e-17,ALL,NA,NA,2020,7,Senegal
ALL,rufisque,0.7842612395081396,0.02362869464043855,0.8178504483113741,0.02354588506326189,ALL,0.41488794242640803,0.06658431080692409,2020,7,Senegal
ALL,saint louis,0.7334496272229136,0.02467222556546737,0.779388077081393,0.034663850898948266,ALL,0.36890601376141113,0.03838229804898761,2020,7,Senegal
ALL,salemata,0.8270042149206285,0.010417566745741767,0.8892405164285857,0.02343952517791892,ALL,0.6428571428571429,0,2020,7,Senegal
ALL,saraya,0.7516697125274276,0.029259458858177368,0.8096539199755631,0.05439677427415555,ALL,0.6162281727958703,0.04627046545633032,2020,7,Senegal
ALL,sedhiou,0.6987654212292506,0.030382905869855793,0.6388888777723396,0.037894121317197944,ALL,0.41939398006754885,0.03837057599908961,2020,7,Senegal
ALL,tambacounda,0.6286974603838144,0.038197652944807106,0.6889999591800473,0.05697791023775781,ALL,0.2846809602065411,0.04426234872882624,2020,7,Senegal
ALL,thies,0.7645114785681906,0.03132502803673399,0.8075485717314483,0.06609308456422,ALL,0.4083595209209719,0.022904566699301784,2020,7,Senegal
ALL,tivaoune,0.896008232643045,0.026659409165984433,0.8670833335000814,0.04283689826629956,ALL,0.34024883750661633,0.023109275107019732,2020,7,Senegal
ALL,velingara,0.7358317581100735,0.022178985578668108,0.8477211990257354,0.0562373754384564,ALL,0.3259757554989946,0.03313264814246389,2020,7,Senegal
ALL,ziguinchor,0.7235682471121336,0.060840587575870624,0.814360146250203,0.02231785897714721,ALL,0.41887618424312206,0.026522565781496418,2020,7,Senegal
private,bakel,0.37037037037037035,0,0.5,0,ALL,NA,NA,2020,7,Senegal
public,bakel,0.7724867724867727,0.01959407618566246,0.8690476190476191,0.01609817628054316,ALL,0.14285714285714288,0,2020,7,Senegal
public,bambey,0.8796296296296295,0.015893670424203588,0.8333333333333333,0.052822140920532265,ALL,0.278021978021978,0.022120094800583592,2020,7,Senegal
public,bignona,0.7757889607293016,0.020962106257751183,0.7630867959794093,0.045308349266873854,ALL,0.31034651981720607,0.021970802495583117,2020,7,Senegal
public,birkelane,0.7407407407407407,0,0.5833333333333334,0,ALL,0.39285714285714285,0.07746415773013084,2020,7,Senegal
public,bounkiling,0.8414055104109625,0.018335910500336904,0.8012820631221634,0.04329527088096389,ALL,0.432350310198731,0.02592601802562527,2020,7,Senegal
public,dagana,0.7142480434959633,0.0339769321067373,0.6699288022073707,0.052191516556751125,ALL,0.552485469561707,0.04095292762220185,2020,7,Senegal
