mga,department,sara_index,se.sara_index,child_readiness,se.child_readiness,factype,fifteen.assess,se.fifteen.assess,year,recode,country
ALL,ALL,0.6885575894535523,0.02302020914773121,0.7585474327912185,0.02406878834097031,ALL,0.3626350329432768,0.04566374094330465,2018,7,Senegal
private,ALL,0.5287677241642942,0.06046324057292832,0.6017378930870076,0.07954283389074067,ALL,0.3619048397968856,0.04566374094330465,2018,7,Senegal
public,ALL,0.7847507225693358,0.005980172518866497,0.8174661652072207,0.008162218938625343,ALL,0.36313153095786954,0.005447051860061877,2018,7,Senegal
ALL,ALL,0.6851552900519285,0.025736045962928746,0.7691059913840692,0.027551434149353224,clinic,0.3661690772713229,0.022302129116155044,2018,7,Senegal
ALL,ALL,0.753355713693911,0.022205013070918607,0.7736111191081394,0.02115387112745678,health center,0.3432349312038768,0.008797298523518578,2018,7,Senegal
ALL,ALL,0.6453102453102454,0.028879366462040392,0.5170995737558873,0.042221810232157084,hospital,0.3473051399005055,0.015338084860480616,2018,7,Senegal
ALL,bakel,0.7981956315289648,0.016107094630767368,0.8301282051282051,0.02043606872077497,ALL,0.3515873015873016,0.026228777909528336,2018,7,Senegal
ALL,bambey,0.8666468094608597,0.026953084143749906,0.9020889181724662,0.03923301199366289,ALL,0.41550636209615643,0.03208761003497573,2018,7,Senegal
ALL,bignona,0.8428885506511077,0.03352887887492954,0.8201420598680872,0.048644026997417336,ALL,0.3091152134619554,0.012399115571995443,2018,7,Senegal
ALL,birkelane,0.6363371235374722,0.02564488469569526,0.7191600849671473,0.06284163168569097,ALL,0.26801492623863243,0.03399529535328843,2018,7,Senegal
ALL,bounkiling,0.8714185872103363,0.037597561955064036,0.866876311610594,0.06878472050307113,ALL,0.4613052777937883,0.03861682709760306,2018,7,Senegal
ALL,dagana,0.788442138636691,0.029047867528620264,0.8252269779507133,0.05050187895486618,ALL,0.3092411856526115,0.04194045515177049,2018,7,Senegal
ALL,dakar,0.5672395216637401,0.07870773596740673,0.6438318729306186,0.10109461929607962,ALL,0.3527821012675352,0.05920554499043754,2018,7,Senegal
ALL,diourbel,0.8683319487157996,0.030208811863132085,0.8986318377025595,0.03514338915354817,ALL,0.40926157891605786,0.027345128367837226,2018,7,Senegal
ALL,fatick,0.8559045367556004,0.012444043773742659,0.8738601823708206,0.021723847529055325,ALL,0.3650550987929238,0.0208713551348005,2018,7,Senegal
ALL,foundiougne,0.7955717917453741,0.04990956445940222,0.8190646709741486,0.04496096614740017,ALL,0.3707106842721565,0.018714602387384077,2018,7,Senegal
ALL,gossas,0.904865649963689,0.04994161269433803,1,0,ALL,0.38686155312028225,0.02734892061874143,2018,7,Senegal
ALL,goudiry,0.8268416115197978,0.01159178768610161,0.9332718346026277,0.02864227489716688,ALL,0.5054926508199088,0.03748885025316045,2018,7,Senegal
ALL,goudomp,0.8814814814814815,0.01299994724058092,0.8833333333333333,0.01914854215512675,ALL,0.37765567765567765,0.025861452239705717,2018,7,Senegal
ALL,guediawaye,0.8224738699300478,0.04972187867210158,0.8769079173334191,0.02302047624846565,ALL,0.32704610976996484,0.03188276540006005,2018,7,Senegal
ALL,guinguineo,0.5531268588215136,0.07034578379865057,0.6338797018749273,0.12668189287245746,ALL,0.5027210884353741,0.039335379069590864,2018,7,Senegal
ALL,kaffrine,0.5914041941406212,0.09922802750954034,0.6862744353175975,0.17200794001274666,ALL,0.3374279304252223,0.06464541408497801,2018,7,Senegal
ALL,kanel,0.7936507936507937,0.013210323469467922,0.8690476190476192,0.023963632368580776,ALL,0.2910866910866911,0.03680810401940296,2018,7,Senegal
ALL,kaolack,0.651934594343009,0.03542229801203671,0.7852445338656135,0.04691672878342895,ALL,0.4507604711751872,0.02888760104592805,2018,7,Senegal
ALL,kebemer,0.7616621797532019,0.026968864796360004,0.7452957024803104,0.02346980656178711,ALL,NA,NA,2018,7,Senegal
ALL,kedougou,0.687203824169126,0.064038180316088,0.8234234118922715,0.040602472772151885,ALL,0.38491434377558026,0.053969537946076986,2018,7,Senegal
ALL,kolda,0.6554651132090263,0.03196751371281066,0.6961940291986877,0.04943997623425311,ALL,0.3644031919313563,0.02320033909018147,2018,7,Senegal
ALL,koungheul,0.6726039049565696,0.02644730268183032,0.8027989884602348,0.047184465125578307,ALL,0.3729028548824611,0.060347499802954695,2018,7,Senegal
ALL,linguere,0.5515208096949188,0.10551010816447948,0.6047008789629521,0.17137552640318668,ALL,0.30545315837018244,0.04396632596938745,2018,7,Senegal
ALL,louga,0.783945092715534,0.01646309793917249,0.8171814316355583,0.032372951016579395,ALL,0.3057753355962716,0.02752961964076718,2018,7,Senegal
